drug,uses
bevacizumab, Cancer of colon and rectum Non-small cell lung cancer Kidney cancer Brain tumor Ovarian cancer Cervical cancer
amoxycillin + clavulanic acid,Treatment of Bacterial infections
azithromycin,Treatment of Bacterial infections
ambroxol + levosalbutamol + guaifenesin,Treatment of Cough with mucus
ranitidine,Treatment of Gastroesophageal reflux disease (Acid reflux)Treatment of Peptic ulcer disease
fexofenadine,Treatment of Sneezing and runny nose due to allergiesTreatment of Allergic conditions
pheniramine,Treatment of Allergic conditionsTreatment of Respiratory disease with excessive mucusTreatment of Skin conditions with inflammation & itchingTreatment and prevention of Meniere's disease
donepezil, Alzheimer's disease
amoxycillin + clavulanic acid,Treatment of Bacterial infections
hydroxyzine,Treatment of AnxietyTreatment of Skin conditions with inflammation & itching
azithromycin,Treatment of Bacterial infections
phenylephrine + beclometasone + lidocaine,Treatment of Piles
montelukast + fexofenadine,Treatment of Sneezing and runny nose due to allergies
phenylephrine + chlorpheniramine maleate + dextromethorphan hydrobromide,Treatment of Dry cough
phenylephrine + chlorpheniramine maleate + dextromethorphan hydrobromide,Treatment of Dry cough
anastrozole, Breast cancer
amoxycillin + clavulanic acid,Treatment of Resistance Tuberculosis (TB)Treatment of Bacterial infections
albendazole,Treatment of Parasitic infections
clonidine,Treatment of Hypertension (high blood pressure)
fexofenadine,Treatment of Sneezing and runny nose due to allergiesTreatment of Allergic conditions
aceclofenac + rabeprazole, Pain relief
hydroxyzine,Treatment of AnxietyTreatment of Skin conditions with inflammation & itching
aceclofenac + paracetamol + serratiopeptidase, Pain relief
spironolactone, Hypertension (high blood pressure) Edema Low potassium Heart failure
donepezil, Alzheimer's disease
donepezil + memantine, Alzheimer's disease
camphor + menthol + naphazoline + phenylephrine,Treatment of Allergic eye disease
camylofin + paracetamol,Treatment of Abdominal pain
hydroxyzine,Treatment of AnxietyTreatment of Skin conditions with inflammation & itching
ambroxol + salbutamol,Treatment of Cough
phenylephrine + chlorpheniramine maleate + dextromethorphan hydrobromide,Treatment of Dry cough
aceclofenac + paracetamol, Pain relief
erythromycin,Treatment of Bacterial infections
salbutamol,Treatment of Chronic obstructive pulmonary disease (COPD)Treatment and prevention of Asthma
ticagrelor, Prevention of heart attack and stroke
vitamin d,Treatment of Vitamin D deficiencyTreatment of Osteoporosis
alfuzosin,Treatment of Benign prostatic hyperplasia
azithromycin,Treatment of Bacterial infections
aceclofenac + paracetamol, Pain relief
fexofenadine,Treatment of Sneezing and runny nose due to allergiesTreatment of Allergic conditions
chlorpheniramine maleate + dextromethorphan hydrobromide,Treatment of Dry cough
azithromycin,Treatment of Bacterial infections
pheniramine,Treatment of Allergic conditionsTreatment of Respiratory disease with excessive mucusTreatment of Skin conditions with inflammation & itchingTreatment and prevention of Meniere's disease
vitamin a,Treatment of Vitamin A deficiency
lidocaine + nifedipine,Treatment of Anal fissure
amoxycillin + clavulanic acid,Treatment of Resistant Tuberculosis (TB)Treatment of Bacterial infections
amoxycillin,Treatment of Bacterial infections
azithromycin + ornidazole + fluconazole,Treatment of Syndromic treatment of vaginal discharge
ambroxol + levosalbutamol + guaifenesin,Treatment of Cough with mucus
salbutamol,Treatment of Chronic obstructive pulmonary disease (COPD)Treatment and prevention of Asthma
cyproheptadine + tricholine citrate + sorbitol, Appetite stimulant
acebrophylline,Treatment of AsthmaTreatment of BronchitisTreatment of Chronic obstructive pulmonary disease (COPD)
azithromycin,Treatment of Bacterial infections
adapalene, Acne
amitriptyline,Treatment of Depression Neuropathic painTreatment of Migraine
ambroxol,Treatment of Respiratory tract disorders associated with viscid mucus
acebrophylline + acetylcysteine,Treatment of Chronic obstructive pulmonary disease (COPD)
ambroxol + levosalbutamol + guaifenesin,Acute Sore throatTreatment of Cough with mucus
dextromethorphan hydrobromide, Dry cough
atorvastatin, High cholesterolPrevention of Heart attack
azelaic acid,Treatment of Acne
phenylephrine + chlorpheniramine maleate + dextromethorphan hydrobromide,Treatment of Dry cough
acotiamide,Treatment of Functional dyspepsia
